ID	Line	BookNum	Book	Chapter	Verse	WordNum	WordOpen	Word	WordClose	NormWordOpen	NormWord	NormWordClose	LcWordOpen	LcWord	LcWordClose	NoDiaWordOpen	NoDiaWord	NoDiaWordClose	StrongOpen	Strong	StrongClose	RMACOpen	RMAC	RMACClose	LemmaOpen	Lemma	LemmaClose	LcLemmaOpen	LcLemma	LcLemmaClose	NoDiaLemmaOpen	NoDiaLemma	NoDiaLemmaClose	EnglishOpen	English	EnglishClose	EnglishPunc	WordPunc	WordDelimiter	EndOfLine
1	1		Mat	1	1	1		ΒΙΒΛΟΣ			ΒΙΒΛΟΣ			βιβλος			βιβλος			G976			TN-NSF			βίβλος						βιβλος								
2	1		Mat	1	1	2		γενέσεως			γενέσεως			γενέσεως			γενεσεως			G1078			TN-GSF			γένεσις						γενεσις								
3	1		Mat	1	1	3		ΙΗΣ			ΙΗΣου			ιησου			ιησου			G2424			TN-GSM			Ἰησοῦς						ιησους								
4	1		Mat	1	1	4		ΧΡΙΣΤΟΥ			ΧΡΙΣΤΟΥ			χριστου			χριστου			G5547			TN-GSM			Χριστός						χριστος						,		
5	1		Mat	1	1	5		οῦ			υἱοῦ			υἱοῦ			υιου			G5207			TN-GSM			υἱός						υιος								
6	1		Mat	1	1	6		Δαβίδ			Δαβίδ			δαβίδ			δαβιδ			G1138			TN-PRI			Δαβίδ						δαβιδ						,		
7	1		Mat	1	1	7		ο			οῦ			οῦ			ου																							
8	1		Mat	1	1	8		ἁραάμ			ἁβραάμ			ἁβραάμ			αβρααμ			G11			TN-PRI			Ἀβραάμ						αβρααμ						.		
9	2		Mat	1	2	1		Αϐραὰμ			Αϐραὰμ			αϐραὰμ			αβρααμ			G11			TN-PRI			Ἀβραάμ						αβρααμ								
10	2		Mat	1	2	2		ἐννσε			ἐννσεν			ἐννσεν			εννσεν																							
11	2		Mat	1	2	3					τὸν			τὸν			τον			G3588			TT-ASM			ὁ						ο								
12	2		Mat	1	2	4		ἱσαάκ			ἱσαάκ			ἱσαάκ			ισαακ			G2464			TN-PRI			Ἰσαάκ						ισαακ						.		
13	2		Mat	1	2	5		ἰσαάκ			ἰσαάκ			ἰσαάκ			ισαακ			G2464			TN-PRI			Ἰσαάκ						ισαακ								
14	2		Mat	1	2	6					δὲ			δὲ			δε			G1161			TCONJ			δέ						δε						,		
15	2		Mat	1	2	7		ἐνησε			ἐνησεν			ἐνησεν			ενησεν																							
16	2		Mat	1	2	8					τὸ			τὸ			το																							
17	2		Mat	1	2	9		ἰακώϐ			ἰακώϐ			ἰακώϐ			ιακωβ			G2384			TN-PRI			Ἰακώβ						ιακωβ						.		
