,ImgPageLineNum,ImgPageNum,LineImageFile,LineText,LineTextFile,OCRAccuracy,ReviewComplete,StartBook,StartChapter,StartVerse,Valid
0,1,1,greek1516_Page_001_Line1.tif,,,,False,,,,True
1,2,1,greek1516_Page_001_Line2.tif,,,,False,,,,True
2,3,1,greek1516_Page_001_Line3.tif,,,,False,,,,True
3,4,1,greek1516_Page_001_Line4.tif,,,,False,,,,True
4,5,1,greek1516_Page_001_Line5.tif,,,,False,,,,True
5,6,1,greek1516_Page_001_Line6.tif,,,,False,,,,True
6,7,1,greek1516_Page_001_Line7.tif,,,,False,,,,True
7,8,1,greek1516_Page_001_Line8.tif,,,,False,,,,True
8,9,1,greek1516_Page_001_Line9.tif,,,,False,,,,True
9,10,1,greek1516_Page_001_Line10.tif,,,,False,,,,True
10,11,1,greek1516_Page_001_Line11.tif,,,,False,,,,True
11,12,1,greek1516_Page_001_Line12.tif,,,,False,,,,True
12,13,1,greek1516_Page_001_Line13.tif,,,,False,,,,True
13,14,1,greek1516_Page_001_Line14.tif,,,,False,,,,True
14,15,1,greek1516_Page_001_Line15.tif,,,,False,,,,True
15,16,1,greek1516_Page_001_Line16.tif,,,,False,,,,True
16,17,1,greek1516_Page_001_Line17.tif,,,,False,,,,True
17,18,1,greek1516_Page_001_Line18.tif,,,,False,,,,True
18,19,1,greek1516_Page_001_Line19.tif,,,,False,,,,True
19,20,1,greek1516_Page_001_Line20.tif,,,,False,,,,True
20,21,1,greek1516_Page_001_Line21.tif,,,,False,,,,True
21,22,1,greek1516_Page_001_Line22.tif,,,,False,,,,True
22,23,1,greek1516_Page_001_Line23.tif,,,,False,,,,True
23,24,1,greek1516_Page_001_Line24.tif,,,,False,,,,True
24,1,2,greek1516_Page_002_Line1.tif,,,,False,,,,True
25,2,2,greek1516_Page_002_Line2.tif,,,,False,,,,True
26,3,2,greek1516_Page_002_Line3.tif,,,,False,,,,True
27,4,2,greek1516_Page_002_Line4.tif,,,,False,,,,True
28,5,2,greek1516_Page_002_Line5.tif,,,,False,,,,True
29,6,2,greek1516_Page_002_Line6.tif,,,,False,,,,True
30,7,2,greek1516_Page_002_Line7.tif,,,,False,,,,True
31,8,2,greek1516_Page_002_Line8.tif,,,,False,,,,True
32,9,2,greek1516_Page_002_Line9.tif,,,,False,,,,True
33,10,2,greek1516_Page_002_Line10.tif,,,,False,,,,True
