ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Critical	Error	Variance	Context	Inflection	Resolved
1	2	Mat 	1	2	2	ἐννσε	εγενννσεν	εγεννησεν	G1080	V-AAI-3S	γεννάω	PC	E		Spelling-X	PC-E--X	extra ν	1	1	1	0	0	0	1
2	3	Mat 	1	3	19	ἐνυησε	εγεννυησεν	εγε	G1080	V-AAI-3S	γεννάω	PC	E	C	Spelling-X	PC-E-C-X	None	1	1	1	0	1	0	1
3	4	Mat 	1	4	10	ναασσό	ναασσον	ναασσων	G3476	N-PRI	Ναασσών	P	V	C	Spelling-X	P-V-C-X		1	0	0	1	1	0	1
4	4	Mat 	1	4	11	νααὸ	ναασσον	ναασσων	G3476	N-PRI	Ναασσών	P	V	C	Spelling-X	P-V-C-X		1	0	0	1	1	0	1
5	6	Mat 	1	6	14	σολομῶνα	σολομωνα	σολομωντα	G4672	N-ASM	Σολομών	P	V	C	Spelling-X	None		1	0	0	1	1	0	1
6	7	Mat 	1	7	1	σαλομὼ	σαλομων	σολομων	G4672	N-NSM	Σολομών	P	V	C	Spelling-X	None		1	0	0	1	1	0	1
7	8	Mat 	1	8	15	σε	σεν	εγαμησεν	G1060	V-AAI-3S	γαμέω	P	V	C	Spelling-X	None		1	0	0	1	1	0	1
8	11	Mat 	1	11	12	μεοικεσεοίας	μετοικεσεοιας	μετοικεσιας	G3350	N-GSF	μετοικεσία		E	C	Spelling-X	-E-C-X		0	0	1	0	1	0	1
9	13	Mat 	1	13	10	ἐλιακίμ	ελιακιμ	ελιακειμ	G1662	N-PRI	Ἐλιακείμ	P	V	C	Spelling-X	P-V-C-X		1	0	0	1	1	0	1
10	13	Mat 	1	13	11	ἐλιακὶμ	ελιακιμ	ελιακειμ	G1662	N-PRI	Ἐλιακείμ	P	V	C	Spelling-X	P-V-C-X		1	0	0	1	1	0	1
11	14	Mat 	1	14	10	ἀχ	αχην	αχειμ	G885	N-PRI	Ἀχείμ	P	V	C	Spelling-X	None		1	0	0	1	1	0	1
12	14	Mat 	1	14	11	ἀχ	αχην	αχειμ	G885	N-PRI	Ἀχείμ	P	V	C	Spelling-X	None		1	0	0	1	1	0	1
13	17	Mat 	1	17	4	γενεσαὶ	γενεσαι	γενεαι	G1074	N-NPF	γενεά		V	C	Spelling-X	-V-C-X		0	0	0	1	1	0	1
14	18	Mat 	1	18	9	μνηήσης	μνηστενθησης	μνηστευθεισης	G3423	V-APP-GSF	μνηστεύω	P	E	C	Spelling-X	None		1	0	1	0	1	0	1
15	18	Mat 	1	18	12	μηέρο	μητερος	μητρος	G3384	N-GSF	μήτηρ	P	V	I	Spelling-X	P-V-I-X		1	0	0	1	0	1	1
16	20	Mat 	1	20	8	κα	κατ᾽	κατ	G2596	PREP	κατά	P	V	CI	Punctuation-P	P-V-CI-P	None	1	0	0	1	1	1	1
17	23	Mat 	1	23	18	μεθερμό	μεθερμενενο	μεθερμηνευομενον	G3177	V-PPP-NSN	μεθερμηνεύω	C	E	C	Translation-T	C-E-C-T	"2 errors:
 incorrectly normalized to εν. It is now ευ.
incorrect spacing leaving μεθερμηνευομενον broken."	0	1	1	0	1	0	1
18	23	Mat 	1	23	20	μεϑʼ	μεθ'	μεθ	G3326	PREP	μετά	P	EV	C	Spelling-X	None		1	0	1	1	1	0	1
