ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Corrected	Error	Variance	Context	Inflection	Resolved
	2	Mat 	1	2	2	ἐννσε	εγενννσεν	εγεννησεν	G1080	V-AAI-3S	γεννάω				None	None	None	0	0	0	0	0	0	1
	2	Mat 	1	2	7	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	2	Mat 	1	2	12	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	3	Mat 	1	3	3	ἐνησεν	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	3	Mat 	1	3	14	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	3	Mat 	1	3	19	ἐνυησε	εγεννυησεν	εγε	None	None	None				None	None	None	0	0	0	0	0	0	1
	4	Mat 	1	4	3	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	4	Mat 	1	4	8	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	4	Mat 	1	4	10	ναασσό	ναασσον	ναασσων	G3476	N-PRI	Ναασσών	P	V	C	Spelling-X	P-V-C-X	None	1	0	0	1	1	0	1
	4	Mat 	1	4	11	νααὸ	ναασσον	ναασσων	G3476	N-PRI	Ναασσών	P	V	C	Spelling-X	P-V-C-X	None	1	0	0	1	1	0	1
	4	Mat 	1	4	13	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	5	Mat 	1	5	3	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω				None	None	None	0	0	0	0	0	0	1
	5	Mat 	1	5	11	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	5	Mat 	1	5	19	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	6	Mat 	1	6	3	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	6	Mat 	1	6	12	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	6	Mat 	1	6	14	σολομῶνα	σολομωνα	σολομωντα	G4672	N-ASM	Σολομών	P	V	C	Spelling-X	None	None	1	0	0	1	1	0	1
