ID	Line	BookNum	Book	Chapter	Verse	WordNum	WordOpen	Word	WordClose	NormWordOpen	NormWord	NormWordClose	LcWordOpen	LcWord	LcWordClose	NoDiaWordOpen	NoDiaWord	NoDiaWordClose	StrongOpen	Strong	StrongClose	RMACOpen	RMAC	RMACClose	LemmaOpen	Lemma	LemmaClose	LcLemmaOpen	LcLemma	LcLemmaClose	NoDiaLemmaOpen	NoDiaLemma	NoDiaLemmaClose	EnglishOpen	English	EnglishClose	EnglishPunc	WordPunc	WordDelimiter	EndOfLine
1	1		Mat	1	1	1	<wt>	Βίβλος	<		Βίβλος			βίβλος			βιβλος		W	G976	>	<W	TN-NSF		l=	βίβλος	>		βίβλος			βιβλος								
2	1		Mat	1	1	2	<wt>	γενέσεως	<		γενέσεως			γενέσεως			γενεσεως		W	G1078	>	<W	TN-GSF		l=	γένεσις	>		γένεσις			γενεσις								
3	1		Mat	1	1	3	<wt>	ἸΗΣΟΥ	<		ἸΗΣΟΥ			ἰησου			ιησου		W	G2424	>	<W	TN-GSM		l=	Ἰησοῦς	>		ἰησοῦς			ιησους								
4	1		Mat	1	1	4	<wt>	Χριστοῦ	<		Χριστοῦ			χριστοῦ			χριστου		W	G5547	>	<W	TN-GSM		l=	Χριστός	>		χριστός			χριστος						,		
5	1		Mat	1	1	5	<wt>	υἱοῦ	<		υἱοῦ			υἱοῦ			υιου		W	G5207	>	<W	TN-GSM		l=	υἱός	>		υἱός			υιος								
6	1		Mat	1	1	6	<wt>	Δαβὶδ	<		Δαβὶδ			δαβὶδ			δαβιδ		W	G1138	>	<W	TN-PRI		l=	Δαβίδ	>		δαβίδ			δαβιδ						,		
7	1		Mat	1	1	7	<wt>	υἱοῦ	<		υἱοῦ			υἱοῦ			υιου		W	G5207	>	<W	TN-GSM		l=	υἱός	>		υἱός			υιος								
8	1		Mat	1	1	8	<wt>	Ἁβραάμ	<		Ἁβραάμ			ἁβραάμ			αβρααμ		W	G11	>	<W	TN-PRI		l=	Ἀβραάμ	>		ἀβραάμ			αβρααμ						.		
9	2		Mat	1	2	1	<wt>	Ἁβραὰμ	<		Ἁβραὰμ			ἁβραὰμ			αβρααμ		W	G11	>	<W	TN-PRI		l=	Ἀβραάμ	>		ἀβραάμ			αβρααμ								
10	2		Mat	1	2	2	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
11	2		Mat	1	2	3	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
12	2		Mat	1	2	4	<wt>	Ἰσαάκ	<		Ἰσαάκ			ἰσαάκ			ισαακ		W	G2464	>	<W	TN-PRI		l=	Ἰσαάκ	>		ἰσαάκ			ισαακ						.		
13	2		Mat	1	2	5	<wt>	Ἰσαὰκ	<		Ἰσαὰκ			ἰσαὰκ			ισαακ		W	G2464	>	<W	TN-PRI		l=	Ἰσαάκ	>		ἰσαάκ			ισαακ								
14	2		Mat	1	2	6	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
15	2		Mat	1	2	7	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
16	2		Mat	1	2	8	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
17	2		Mat	1	2	9	<wt>	Ἰακώβ	<		Ἰακώβ			ἰακώβ			ιακωβ		W	G2384	>	<W	TN-PRI		l=	Ἰακώβ	>		ἰακώβ			ιακωβ						.		
18	2		Mat	1	2	10	<wt>	Ἰακὼβ	<		Ἰακὼβ			ἰακὼβ			ιακωβ		W	G2384	>	<W	TN-PRI		l=	Ἰακώβ	>		ἰακώβ			ιακωβ								
19	2		Mat	1	2	11	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
20	2		Mat	1	2	12	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
21	2		Mat	1	2	13	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
22	2		Mat	1	2	14	<wt>	Ἰούδαν	<		Ἰούδαν			ἰούδαν			ιουδαν		W	G2455	>	<W	TN-ASM		l=	Ἰουδάς	>		ἰουδάς			ιουδας								
23	2		Mat	1	2	15	<wt>	καὶ	<		καὶ			καὶ			και		W	G2532	>	<W	TCONJ		l=	καί	>		καί			και								
24	2		Mat	1	2	16	<wt>	τοὺς	<		τοὺς			τοὺς			τους		W	G3588	>	<W	TT-APM		l=	ὁ	>		ὁ			ο								
25	2		Mat	1	2	17	<wt>	ἀδελφοὺς	<		ἀδελφοὺς			ἀδελφοὺς			αδελφους		W	G80	>	<W	TN-APM		l=	ἀδελφός	>		ἀδελφός			αδελφος								
26	2		Mat	1	2	18	<wt>	αὐτοῦ	<		αὐτοῦ			αὐτοῦ			αυτου		W	G846	>	<W	TP-GSM		l=	αὐτός	>		αὐτός			αυτος						.		
27	3		Mat	1	3	1	<wt>	Ἰούδας	<		Ἰούδας			ἰούδας			ιουδας		W	G2455	>	<W	TN-NSM		l=	Ἰουδάς	>		ἰουδάς			ιουδας								
28	3		Mat	1	3	2	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
29	3		Mat	1	3	3	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
30	3		Mat	1	3	4	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
31	3		Mat	1	3	5	<wt>	Φαρὲς	<		Φαρὲς			φαρὲς			φαρες		W	G5329	>	<W	TN-PRI		l=	Φαρές	>		φαρές			φαρες								
32	3		Mat	1	3	6	<wt>	καὶ	<		καὶ			καὶ			και		W	G2532	>	<W	TCONJ		l=	καί	>		καί			και								
33	3		Mat	1	3	7	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
34	3		Mat	1	3	8	<wt>	Ζαρὰ	<		Ζαρὰ			ζαρὰ			ζαρα		W	G2196	>	<W	TN-PRI		l=	Ζαρά	>		ζαρά			ζαρα								
35	3		Mat	1	3	9	<wt>	ἐκ	<		ἐκ			ἐκ			εκ		W	G1537	>	<W	TPREP		l=	ἐκ	>		ἐκ			εκ								
36	3		Mat	1	3	10	<wt>	τῆς	<		τῆς			τῆς			της		W	G3588	>	<W	TT-GSF		l=	ὁ	>		ὁ			ο								
37	3		Mat	1	3	11	<wt>	Θάμαρ	<		Θάμαρ			θάμαρ			θαμαρ		W	G2283	>	<W	TN-PRI		l=	Θάμαρ	>		θάμαρ			θαμαρ						.		
38	3		Mat	1	3	12	<wt>	Φαρὲς	<		Φαρὲς			φαρὲς			φαρες		W	G5329	>	<W	TN-PRI		l=	Φαρές	>		φαρές			φαρες								
39	3		Mat	1	3	13	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
40	3		Mat	1	3	14	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
41	3		Mat	1	3	15	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
42	3		Mat	1	3	16	<wt>	Ἑσρώμ	<		Ἑσρώμ			ἑσρώμ			εσρωμ		W	G2074	>	<W	TN-PRI		l=	Ἐσρώμ	>		ἐσρώμ			εσρωμ						.		
43	3		Mat	1	3	17	<wt>	Ἑσρὼμ	<		Ἑσρὼμ			ἑσρὼμ			εσρωμ		W	G2074	>	<W	TN-PRI		l=	Ἐσρώμ	>		ἐσρώμ			εσρωμ								
44	3		Mat	1	3	18	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
45	3		Mat	1	3	19	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
46	3		Mat	1	3	20	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
47	3		Mat	1	3	21	<wt>	Ἀράμ	<		Ἀράμ			ἀράμ			αραμ		W	G689	>	<W	TN-PRI		l=	Ἀράμ	>		ἀράμ			αραμ						.		
48	4		Mat	1	4	1	<wt>	Ἀρὰμ	<		Ἀρὰμ			ἀρὰμ			αραμ		W	G689	>	<W	TN-PRI		l=	Ἀράμ	>		ἀράμ			αραμ								
49	4		Mat	1	4	2	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
50	4		Mat	1	4	3	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
51	4		Mat	1	4	4	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
52	4		Mat	1	4	5	<wt>	Ἀμιναδάβ	<		Ἀμιναδάβ			ἀμιναδάβ			αμιναδαβ		W	G284	>	<W	TN-PRI		l=	Ἀμιναδάβ	>		ἀμιναδάβ			αμιναδαβ						.		
53	4		Mat	1	4	6	<wt>	Ἀμιναδὰβ	<		Ἀμιναδὰβ			ἀμιναδὰβ			αμιναδαβ		W	G284	>	<W	TN-PRI		l=	Ἀμιναδάβ	>		ἀμιναδάβ			αμιναδαβ								
54	4		Mat	1	4	7	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
55	4		Mat	1	4	8	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
56	4		Mat	1	4	9	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
57	4		Mat	1	4	10	<wt>	Ναασσών	<		Ναασσών			ναασσών			ναασσων		W	G3476	>	<W	TN-PRI		l=	Ναασσών	>		ναασσών			ναασσων						.		
58	4		Mat	1	4	11	<wt>	Ναασσὼν	<		Ναασσὼν			ναασσὼν			ναασσων		W	G3476	>	<W	TN-PRI		l=	Ναασσών	>		ναασσών			ναασσων								
59	4		Mat	1	4	12	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
60	4		Mat	1	4	13	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
61	4		Mat	1	4	14	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
62	4		Mat	1	4	15	<wt>	Σαλμών	<		Σαλμών			σαλμών			σαλμων		W	G4533	>	<W	TN-PRI		l=	Σαλμών	>		σαλμών			σαλμων						.		
63	5		Mat	1	5	1	<wt>	Σαλμὼν	<		Σαλμὼν			σαλμὼν			σαλμων		W	G4533	>	<W	TN-PRI		l=	Σαλμών	>		σαλμών			σαλμων								
64	5		Mat	1	5	2	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
65	5		Mat	1	5	3	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
66	5		Mat	1	5	4	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
67	5		Mat	1	5	5	<wt>	Βοὸζ	<		Βοὸζ			βοὸζ			βοοζ		W	G1003	>	<W	TN-PRI		l=	Βοόζ	>		βοόζ			βοοζ								
68	5		Mat	1	5	6	<wt>	ἐκ	<		ἐκ			ἐκ			εκ		W	G1537	>	<W	TPREP		l=	ἐκ	>		ἐκ			εκ								
69	5		Mat	1	5	7	<wt>	τῆς	<		τῆς			τῆς			της		W	G3588	>	<W	TT-GSF		l=	ὁ	>		ὁ			ο								
70	5		Mat	1	5	8	<wt>	Ῥαχάβ	<		Ῥαχάβ			ῥαχάβ			ραχαβ		W	G4477	>	<W	TN-PRI		l=	Ῥαχάβ	>		ῥαχάβ			ραχαβ						.		
71	5		Mat	1	5	9	<wt>	Βοὸζ	<		Βοὸζ			βοὸζ			βοοζ		W	G1003	>	<W	TN-PRI		l=	Βοόζ	>		βοόζ			βοοζ								
72	5		Mat	1	5	10	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
73	5		Mat	1	5	11	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
74	5		Mat	1	5	12	<wt>	τὸν	<		τὸν			τὸν			τον		W	G3588	>	<W	TT-ASM		l=	ὁ	>		ὁ			ο								
75	5		Mat	1	5	13	<wt>	Ὠβὴδ	<		Ὠβὴδ			ὠβὴδ			ωβηδ		W	G5601	>	<W	TN-PRI		l=	Ὠβήδ	>		ὠβήδ			ωβηδ								
76	5		Mat	1	5	14	<wt>	ἐκ	<		ἐκ			ἐκ			εκ		W	G1537	>	<W	TPREP		l=	ἐκ	>		ἐκ			εκ								
77	5		Mat	1	5	15	<wt>	τῆς	<		τῆς			τῆς			της		W	G3588	>	<W	TT-GSF		l=	ὁ	>		ὁ			ο								
78	5		Mat	1	5	16	<wt>	Ῥούθ	<		Ῥούθ			ῥούθ			ρουθ		W	G4503	>	<W	TN-PRI		l=	Ῥούθ	>		ῥούθ			ρουθ						.		
79	5		Mat	1	5	17	<wt>	Ὠβὴδ	<		Ὠβὴδ			ὠβὴδ			ωβηδ		W	G5601	>	<W	TN-PRI		l=	Ὠβήδ	>		ὠβήδ			ωβηδ								
80	5		Mat	1	5	18	<wt>	δὲ	<		δὲ			δὲ			δε		W	G1161	>	<W	TCONJ		l=	δέ	>		δέ			δε								
81	5		Mat	1	5	19	<wt>	ἐγέννησε	<		ἐγέννησε			ἐγέννησε			εγεννησε		W	G1080	>	<W	TV-AAI-3S		l=	γεννάω	>		γεννάω			γενναω								
