NoDiaWord	Strong	RMAC	Lemma
βιβλος	G976	N-NSF	βίβλος
γενεσεως	G1078	N-GSF	γένεσις
ιησου	G2424	N-GSM	Ἰησοῦς
χριστου	G5547	N-GSM	Χριστός
υιου	G5207	N-GSM	υἱός
δαβιδ	G1138	N-PRI	Δαβίδ
αβρααμ	G11	N-PRI	Ἀβραάμ
εγεννησε	G1080	V-AAI-3S	γεννάω
τον	G3588	T-ASM	ὁ
ισαακ	G2464	N-PRI	Ἰσαάκ
δε	G1161	CONJ	δέ
ιακωβ	G2384	N-PRI	Ἰακώβ
ιουδαν	G2455	N-ASM	Ἰουδάς
και	G2532	CONJ	καί
τους	G3588	T-APM	ὁ
αδελφους	G80	N-APM	ἀδελφός
αυτου	G846	P-GSM	αὐτός
ιουδας	G2455	N-NSM	Ἰουδάς
φαρες	G5329	N-PRI	Φαρές
ζαρα	G2196	N-PRI	Ζαρά
εκ	G1537	PREP	ἐκ
της	G3588	T-GSF	ὁ
θαμαρ	G2283	N-PRI	Θάμαρ
εσρωμ	G2074	N-PRI	Ἐσρώμ
αραμ	G689	N-PRI	Ἀράμ
αμιναδαβ	G284	N-PRI	Ἀμιναδάβ
ναασσων	G3476	N-PRI	Ναασσών
σαλμων	G4533	N-PRI	Σαλμών
βοοζ	G1003	N-PRI	Βοόζ
ραχαβ	G4477	N-PRI	Ῥαχάβ
ωβηδ	G5601	N-PRI	Ὠβήδ
ρουθ	G4503	N-PRI	Ῥούθ
ιεσσαι	G2421	N-PRI	Ἰεσσαί
βασιλεα	G935	N-ASM	βασιλεύς
ο	G3588	T-NSM	ὁ
βασιλευς	G935	N-NSM	βασιλεύς
σολομωντα	G4672	N-ASM	Σολομών
του	G3588	T-GSM	ὁ
ουριου	G3774	N-GSM	Οὐρίας
σολομων	G4672	N-NSM	Σολομών
ροβοαμ	G4497	N-PRI	Ῥοβοάμ
αβια	G7	N-PRI	Ἀβιά
ασα	G760	N-PRI	Ἀσά
ιωσαφατ	G2498	N-PRI	Ἰωσαφάτ
ιωραμ	G2496	N-PRI	Ἰωράμ
οζιαν	G3604	N-ASM	Ὀζίας
οζιας	G3604	N-NSM	Ὀζίας
ιωαθαμ	G2488	N-PRI	Ἰωάθαμ
αχαζ	G881	N-PRI	Ἀχάζ
εζεκιαν	G1478	N-ASM	Ἐζεκίας
εζεκιας	G1478	N-NSM	Ἐζεκίας
μανασση	G3128	N-ASM	Μανασσῆς
μανασσης	G3128	N-NSM	Μανασσῆς
αμων	G300	N-PRI	Ἀμών
ιωσιαν	G2502	N-ASM	Ἰωσίας
ιωσιας	G2502	N-NSM	Ἰωσίας
ιεχονιαν	G2423	N-ASM	Ἰεχονίας
επι	G1909	PREP	ἐπί
μετοικεσιας	G3350	N-GSF	μετοικεσία
βαβυλωνος	G897	N-GSF	Βαβυλών
μετα	G3326	PREP	μετά
την	G3588	T-ASF	ὁ
μετοικεσιαν	G3350	N-ASF	μετοικεσία
ιεχονιας	G2423	N-NSM	Ἰεχονίας
σαλαθιηλ	G4528	N-PRI	Σαλαθιήλ
ζοροβαβελ	G2216	N-PRI	Ζοροβάβελ
αβιουδ	G10	N-PRI	Ἀβιούδ
ελιακειμ	G1662	N-PRI	Ἐλιακείμ
αζωρ	G107	N-PRI	Ἀζώρ
