ID	Line	BookNum	Book	Chapter	Verse	WordNum	WordOpen	Word	WordClose	NormWordOpen	NormWord	NormWordClose	LcWordOpen	LcWord	LcWordClose	NoDiaWordOpen	NoDiaWord	NoDiaWordClose	StrongOpen	Strong	StrongClose	RMACOpen	RMAC	RMACClose	LemmaOpen	Lemma	LemmaClose	LcLemmaOpen	LcLemma	LcLemmaClose	NoDiaLemmaOpen	NoDiaLemma	NoDiaLemmaClose	EnglishOpen	English	EnglishClose	EnglishPunc	WordPunc	WordDelimiter	EndOfLine
10	2		Mat 	1	2	2		ἐννσε			ἐγένννσεν			ἐγένννσεν			εγενννσεν																							
15	2		Mat 	1	2	7		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
20	2		Mat 	1	2	12		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
29	3		Mat 	1	3	3		ἐνησεν			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
40	3		Mat 	1	3	14		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
45	3		Mat 	1	3	19		ἐνυησε			ἐγέννυησεν			ἐγέννυησεν			εγεννυησεν																							
50	4		Mat 	1	4	3		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
55	4		Mat 	1	4	8		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
57	4		Mat 	1	4	10		ναασσό			ναασσόν			ναασσόν			ναασσον																					.		
58	4		Mat 	1	4	11		νααὸ			ναασσὸν			ναασσὸν			ναασσον																							
60	4		Mat 	1	4	13		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
65	5		Mat 	1	5	3		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
73	5		Mat 	1	5	11		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
81	5		Mat 	1	5	19		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
86	6		Mat 	1	6	3		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
95	6		Mat 	1	6	12		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
97	6		Mat 	1	6	14		σολομῶνα			σολομῶνα			σολομῶνα			σολομωνα																							
102	7		Mat 	1	7	1		σαλομὼ			σαλομὼν			σαλομὼν			σαλομων																							
104	7		Mat 	1	7	3		ἐέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
109	7		Mat 	1	7	8		ἐέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
114	7		Mat 	1	7	13		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
119	8		Mat 	1	8	3		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
124	8		Mat 	1	8	8		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
129	8		Mat 	1	8	13		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
131	8		Mat 	1	8	15		σε			σεν			σεν			σεν																							
136	9		Mat 	1	9	3		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
141	9		Mat 	1	9	8		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
146	9		Mat 	1	9	13		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
151	10		Mat 	1	10	3		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
156	10		Mat 	1	10	8		ἐγʼέννησε			ἐγ'έννησεν			ἐγ'έννησεν			εγ'εννησεν																							
161	10		Mat 	1	10	13		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
166	11		Mat 	1	11	3		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
175	11		Mat 	1	11	12		μεοικεσεοίας			μετοικεσεοίας			μετοικεσεοίας			μετοικεσεοιας																							
183	12		Mat 	1	12	7		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
188	12		Mat 	1	12	12		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
193	13		Mat 	1	13	3		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
198	13		Mat 	1	13	8		ἐνησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
200	13		Mat 	1	13	10		ἐλιακίμ			ἐλιακίμ			ἐλιακίμ			ελιακιμ																					.		
201	13		Mat 	1	13	11		ἐλιακὶμ			ἐλιακὶμ			ἐλιακὶμ			ελιακιμ																							
203	13		Mat 	1	13	13		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
208	14		Mat 	1	14	3		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
213	14		Mat 	1	14	8		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
215	14		Mat 	1	14	10		ἀχ			ἀχήν			ἀχήν			αχην																					.		
216	14		Mat 	1	14	11		ἀχ			ἀχὴν			ἀχὴν			αχην																							
218	14		Mat 	1	14	13		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
223	15		Mat 	1	15	3		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
228	15		Mat 	1	15	8		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
233	15		Mat 	1	15	13		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
238	16		Mat 	1	16	3		ἐγέννησε			ἐγέννησεν			ἐγέννησεν			εγεννησεν																							
240	16		Mat 	1	16	5		ἰω			ἰω			ἰω			ιω																							
241	16		Mat 	1	16	6		σὴφ			σὴφ			σὴφ			σηφ																					,		
245	16		Mat 	1	16	10					ἐχ			ἐχ			εχ																							
255	17		Mat 	1	17	4		γενεσαὶ			γενεσαὶ			γενεσαὶ			γενεσαι																					,		
278	17		Mat 	1	17	27		ΧΡΙΣΤΟΥγενεαὶ			ΧΡΙΣΤΟΥγενεαὶ			χριστουγενεαὶ			χριστουγενεαι																							
288	18		Mat 	1	18	9		μνηήσης			μνηστενθήσης			μνηστενθήσης			μνηστενθησης																							
291	18		Mat 	1	18	12		μηέρο			μητέρος			μητέρος			μητερος																							
330	20		Mat 	1	20	8		κα			κατ᾽			κατ᾽			κατ᾽																							
352	20		Mat 	1	20	30		ι			ἐχιν			ἐχιν			εχιν																							
385	22		Mat 	1	22	13		οφή			τοῦπροφήτου			τοῦπροφήτου			τουπροφητου																							
405	23		Mat 	1	23	17		ι			ἐχιν			ἐχιν			εχιν																							
406	23		Mat 	1	23	18		μεθερμό			μεθερμενενό			μεθερμενενό			μεθερμενενο																							
407	23		Mat 	1	23	19		ο			μενον			μενον			μενον																							
408	23		Mat 	1	23	20		μεϑʼ			μεϑ'			μεϑ'			μεθ'																							
426	24		Mat 	1	24	15		έλαϐε			παρέλαϐεν			παρέλαϐεν			παρελαβεν																							
436	25		Mat 	1	25	7		ἔκε			ἔτεκεν			ἔτεκεν			ετεκεν																							
439	25		Mat 	1	25	10		ἀτῆς			ἀτῆς			ἀτῆς			ατης																					,		
443	25		Mat 	1	25	14		ἐκάλεσε			ἐκάλεσεν			ἐκάλεσεν			εκαλεσεν																							
446	25		Mat 	1	25	17		ἀυ			ἀυτῶν			ἀυτῶν			αυτων																							
451	26		Mat 	2	1	4		γεννηθένυς			γεννηθένυτος			γεννηθένυτος			γεννηθενυτος																							
460	26		Mat 	2	1	13		Βασιλές			Βασιλές			βασιλές			βασιλες																					.		
470	27		Mat 	2	2	3		ι			ἐχιν			ἐχιν			εχιν																							
475	27		Mat 	2	2	8		ἰουδω;			ἰουδαίων;			ἰουδαίων;			ιουδαιων;																							
487	27		Mat 	2	2	20		ἀυὸ			ἀυτὸν			ἀυτὸν			αυτον																					.		
497	28		Mat 	2	3	10		μεʼ			μετ'			μετ'			μετ'																							
