ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Corrected	Error	Variance	Context	Inflection	Resolved
1	2	Mat 	1	2	2	ἐννσε	εγενννσεν	εγεννησεν	G1080	V-AAI-3S	γεννάω				None	None	None	0	0	0	0	0	0	1
2	2	Mat 	1	2	2	ἐννσε	εγενννσεν	εγεννησεν	G1080	V-AAI-3S	γεννάω	PC	E		Spelling-X	PC-E--X	extra ν							
3	2	Mat 	1	2	7	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
4	2	Mat 	1	2	12	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
5	3	Mat 	1	3	3	ἐνησεν	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
6	3	Mat 	1	3	14	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
7	3	Mat 	1	3	19	ἐνυησε	εγεννυησεν	εγε	None	None	None				None	None	None	0	0	0	0	0	0	1
8	3	Mat 	1	3	19	ἐνυησε	εγεννυησεν	εγε	G1080	V-AAI-3S	γεννάω	PC	E	C	Spelling-X	PC-E-C-X	None							
9	4	Mat 	1	4	3	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
10	4	Mat 	1	4	8	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
11	4	Mat 	1	4	10	ναασσό	ναασσον											0	0	0	0	0	0	0
12	4	Mat 	1	4	10	ναασσό	ναασσον	ναασσων	G3476	N-PRI	Ναασσών	P	V	C	Spelling-X	P-V-C-X	None							
13	4	Mat 	1	4	11	νααὸ	ναασσον											0	0	0	0	0	0	0
14	4	Mat 	1	4	11	νααὸ	ναασσον	ναασσων	G3476	N-PRI	Ναασσών	P	V	C	Spelling-X	P-V-C-X	None							
15	4	Mat 	1	4	13	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
16	5	Mat 	1	5	3	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω				None	None	None	0	0	0	0	0	0	1
17	5	Mat 	1	5	11	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
18	5	Mat 	1	5	19	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
19	6	Mat 	1	6	3	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
20	6	Mat 	1	6	12	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
21	6	Mat 	1	6	14	σολομῶνα	σολομωνα											0	0	0	0	0	0	0
22	6	Mat 	1	6	14	σολομῶνα	σολομωνα	σολομωντα	G4672	N-ASM	Σολομών	P	V	C	Spelling-X	None	None							
23	7	Mat 	1	7	1	σαλομὼ	σαλομων											0	0	0	0	0	0	0
24	7	Mat 	1	7	1	σαλομὼ	σαλομων	σολομων	G4672	N-NSM	Σολομών	P	V	C	Spelling-X	None	None							
25	7	Mat 	1	7	3	ἐέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
26	7	Mat 	1	7	8	ἐέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
27	7	Mat 	1	7	13	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
28	8	Mat 	1	8	3	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
29	8	Mat 	1	8	8	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
30	8	Mat 	1	8	13	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
31	8	Mat 	1	8	15	σε	σεν											0	0	0	0	0	0	0
32	8	Mat 	1	8	15	σε	σεν	εγαμησεν	G1060	V-AAI-3S	γαμέω	P	V	C	Spelling-X	None	None							
33	9	Mat 	1	9	3	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
34	9	Mat 	1	9	8	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
35	9	Mat 	1	9	13	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
36	10	Mat 	1	10	3	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
37	10	Mat 	1	10	8	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
38	10	Mat 	1	10	13	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
39	11	Mat 	1	11	3	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
40	11	Mat 	1	11	12	μεοικεσεοίας	μετοικεσεοιας	μετοικεσιας	G3350	N-GSF	μετοικεσία		E	C	Spelling-X	-E-C-X	None							
41	12	Mat 	1	12	7	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
42	12	Mat 	1	12	12	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
43	13	Mat 	1	13	3	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
44	13	Mat 	1	13	8	ἐνησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
45	13	Mat 	1	13	10	ἐλιακίμ	ελιακιμ											0	0	0	0	0	0	0
46	13	Mat 	1	13	10	ἐλιακίμ	ελιακιμ	ελιακειμ	G1662	N-PRI	Ἐλιακείμ	P	V	C	Spelling-X	P-V-C-X	None							
47	13	Mat 	1	13	11	ἐλιακὶμ	ελιακιμ											0	0	0	0	0	0	0
48	13	Mat 	1	13	11	ἐλιακὶμ	ελιακιμ	ελιακειμ	G1662	N-PRI	Ἐλιακείμ	P	V	C	Spelling-X	P-V-C-X	None							
49	13	Mat 	1	13	13	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
