Line	Book	Chapter	Verse	Scripture
1	Mat 	1	1	Βίβλος γενέσεως Ἰησοῦ Χριστοῦ, υἱοῦ Δαβίδ, υἱοῦ Ἀβραάμ 
2	Mat 	1	2	Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ.  Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ.  Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ 
3	Mat 	1	3	Ἰούδας δὲ ἐγέννησεν τὸν Φάρες καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ.  Φάρες δὲ ἐγέννησεν τὸν Ἑσρώμ.  Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ 
4	Mat 	1	4	Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ.  Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών.  Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών 
5	Mat 	1	5	Σαλμὼν δὲ ἐγέννησεν τὸν Βοὸζ ἐκ τῆς Ῥαχάβ.  Βοὸζ δὲ ἐγέννησεν τὸν Ὠβὴδ ἐκ τῆς Ῥούθ.  Ὠβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί 
6	Mat 	1	6	Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαβὶδ τὸν βασιλέα.  Δαβὶδ δὲ ὁ βασιλεὺς ἐγέννησεν τὸν Σολομῶντα ἐκ τῆς τοῦ Οὐρίου 
7	Mat 	1	7	Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ.  Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά.  Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσά 
8	Mat 	1	8	Ἀσὰ δὲ ἐγέννησεν τὸν Ἰωσαφάτ.  Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ.  Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν 
9	Mat 	1	9	Ὀζίας δὲ ἐγέννησεν τὸν Ἰωαθάμ.  Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ.  Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν 
10	Mat 	1	10	Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ.  Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμών.  Ἀμὼν δὲ ἐγέννησεν τὸν Ἰωσίαν 
11	Mat 	1	11	Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος 
12	Mat 	1	12	Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ.  Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβαβέλ 
13	Mat 	1	13	Ζοροβαβὲλ δὲ ἐγέννησεν τὸν Ἀβιούδ.  Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακείμ.  Ἐλιακεὶμ δὲ ἐγέννησεν τὸν Ἀζώρ 
14	Mat 	1	14	Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ.  Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχείμ.  Ἀχεὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ 
15	Mat 	1	15	Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ.  Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν.  Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ 
16	Mat 	1	16	Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος Χριστός 
17	Mat 	1	17	Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαβὶδ γενεαὶ δεκατέσσαρες καὶ ἀπὸ Δαβὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ Χριστοῦ γενεαὶ δεκατέσσαρες 
18	Mat 	1	18	Τοῦ δὲ Ἰησοῦ Χριστοῦ ἡ γέννησις οὕτως ἠν.  μνηστευθείσης γὰρ τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτούς, εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου 
19	Mat 	1	19	Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς δίκαιος ὢν καὶ μὴ θέλων αὐτὴν παραδειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν 
20	Mat 	1	20	ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδού, ἄγγελος κυρίου κατ' ὄναρ ἐφάνη αὐτῷ λέγων, Ἰωσὴφ υἱὸς Δαβίδ, μὴ φοβηθῇς παραλαβεῖν Μαριὰμ τὴν γυναῖκά σου.  τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου 
21	Mat 	1	21	τέξεται δὲ υἱὸν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν.  αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν 
22	Mat 	1	22	Τοῦτο δὲ ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ τοῦ κυρίου διὰ τοῦ προφήτου λέγοντος, 
23	Mat 	1	23	Ἰδού, ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν, καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ, ὅ ἐστιν μεθερμηνευόμενον, Μεθ' ἡμῶν ὁ θεός 
24	Mat 	1	24	διεγερθεὶς δὲ ὁ Ἰωσὴφ ἀπὸ τοῦ ὕπνου ἐποίησεν ὡς προσέταξεν αὐτῷ ὁ ἄγγελος κυρίου καὶ παρέλαβεν τὴν γυναῖκα αὐτοῦ 
