bookabbr,bookname,booknumber
Gen,Genesis,1
Exo,Exodus,2
Lev,Leviticus,3
Num,Numbers,4
Deu,Deuteronomy,5
Jos,Joshua,6
Jdg,Judges,7
Rut,Ruth,8
1Sa,1 Samuel,9
2Sa,2 Samuel,10
1Ki,1 Kings,11
2Ki,2 Kings,12
1Ch,1 Chronicles,13
2Ch,2 Chronicles,14
Ezr,Ezra,15
Neh,Nehemiah,16
Est,Esther,17
Job,Job,18
Psa,Psalms,19
Pro,Proverbs,20
Ecc,Ecclesiastes,21
Sng,Song of Solomon,22
Isa,Isaiah,23
Jer,Jeremiah,24
Lam,Lamentations,25
Eze,Ezekiel,26
Dan,Daniel,27
Hos,Hosea,28
Joe,Joel,29
Amo,Amos,30
Oba,Obadiah,31
Jon,Jonah,32
Mic,Micah,33
Nah,Nahum,34
Hab,Habakkuk,35
Zep,Zephaniah,36
Hag,Haggai,37
Zec,Zechariah,38
Mal,Malachi,39
Mat,Matthew,40
Mar,Mark,41
Luk,Luke,42
Joh,John,43
Act,Acts,44
Rom,Romans,45
1Co,1 Corinthians,46
2Co,2 Corinthians,47
Gal,Galatians,48
Eph,Ephesians,49
Php,Philippians,50
Col,Colossians,51
1Th,1 Thessalonians,52
2Th,2 Thessalonians,53
1Ti,1 Timothy,54
2Ti,2 Timothy,55
Tit,Titus,56
Phm,Philemon,57
Heb,Hebrews,58
Jas,James,59
1Pe,1 Peter,60
2Pe,2 Peter,61
1Jn,1 John,62
2Jn,2 John,63
3Jn,3 John,64
Jud,Jude,65
Rev,Revelation,66
