BookAbbr,PrefixMarkdown,BookNumber,BookNumberMarkdown,BookName,BookMarkdown,TotalChapters,TotalVerses
Gen,_book_,1,_,Genesis,_book_1_Genesis,50,
Exo,_book_,2,_,Exodus,_book_2_Exodus,40,
Lev,_book_,3,_,Leviticus,_book_3_Leviticus,27,
Num,_book_,4,_,Numbers,_book_4_Numbers,36,
Deu,_book_,5,_,Deuteronomy,_book_5_Deuteronomy,34,
Jos,_book_,6,_,Joshua,_book_6_Joshua,24,
Jdg,_book_,7,_,Judges,_book_7_Judges,21,
Rut,_book_,8,_,Ruth,_book_8_Ruth,4,
1Sa,_book_,9,_,1 Samuel,_book_9_1 Samuel,31,
2Sa,_book_,10,_,2 Samuel,_book_10_2 Samuel,24,
1Ki,_book_,11,_,1 Kings,_book_11_1 Kings,22,
2Ki,_book_,12,_,2 Kings,_book_12_2 Kings,25,
1Ch,_book_,13,_,1 Chronicles,_book_13_1 Chronicles,29,
2Ch,_book_,14,_,2 Chronicles,_book_14_2 Chronicles,36,
Ezr,_book_,15,_,Ezra,_book_15_Ezra,10,
Neh,_book_,16,_,Nehemiah,_book_16_Nehemiah,13,
Est,_book_,17,_,Esther,_book_17_Esther,10,
Job,_book_,18,_,Job,_book_18_Job,42,
Psa,_book_,19,_,Psalms,_book_19_Psalms,150,
Pro,_book_,20,_,Proverbs,_book_20_Proverbs,31,
Ecc,_book_,21,_,Ecclesiastes,_book_21_Ecclesiastes,12,
Sng,_book_,22,_,Song of Solomon,_book_22_Song of Solomon,8,
Isa,_book_,23,_,Isaiah,_book_23_Isaiah,66,
Jer,_book_,24,_,Jeremiah,_book_24_Jeremiah,52,
Lam,_book_,25,_,Lamentations,_book_25_Lamentations,5,
Eze,_book_,26,_,Ezekiel,_book_26_Ezekiel,48,
Dan,_book_,27,_,Daniel,_book_27_Daniel,12,
Hos,_book_,28,_,Hosea,_book_28_Hosea,14,
Joe,_book_,29,_,Joel,_book_29_Joel,3,
Amo,_book_,30,_,Amos,_book_30_Amos,9,
Oba,_book_,31,_,Obadiah,_book_31_Obadiah,1,
Jon,_book_,32,_,Jonah,_book_32_Jonah,4,
Mic,_book_,33,_,Micah,_book_33_Micah,7,
Nah,_book_,34,_,Nahum,_book_34_Nahum,3,
Hab,_book_,35,_,Habakkuk,_book_35_Habakkuk,3,
Zep,_book_,36,_,Zephaniah,_book_36_Zephaniah,3,
Hag,_book_,37,_,Haggai,_book_37_Haggai,2,
Zec,_book_,38,_,Zechariah,_book_38_Zechariah,14,
Mal,_book_,39,_,Malachi,_book_39_Malachi,4,
Mat,_book_,40,_,Matthew,_book_40_Matthew,28,
Mar,_book_,41,_,Mark,_book_41_Mark,16,
Luk,_book_,42,_,Luke,_book_42_Luke,24,
Joh,_book_,43,_,John,_book_43_John,21,
Act,_book_,44,_,Acts,_book_44_Acts,28,
Rom,_book_,45,_,Romans,_book_45_Romans,16,
1Co,_book_,46,_,1 Corinthians,_book_46_1 Corinthians,16,
2Co,_book_,47,_,2 Corinthians,_book_47_2 Corinthians,13,
Gal,_book_,48,_,Galatians,_book_48_Galatians,6,
Eph,_book_,49,_,Ephesians,_book_49_Ephesians,6,
Php,_book_,50,_,Philippians,_book_50_Philippians,4,
Col,_book_,51,_,Colossians,_book_51_Colossians,4,
1Th,_book_,52,_,1 Thessalonians,_book_52_1 Thessalonians,5,
2Th,_book_,53,_,2 Thessalonians,_book_53_2 Thessalonians,3,
1Ti,_book_,54,_,1 Timothy,_book_54_1 Timothy,6,
2Ti,_book_,55,_,2 Timothy,_book_55_2 Timothy,4,
Tit,_book_,56,_,Titus,_book_56_Titus,3,
Phm,_book_,57,_,Philemon,_book_57_Philemon,1,
Heb,_book_,58,_,Hebrews,_book_58_Hebrews,13,
Jas,_book_,59,_,James,_book_59_James,5,
1Pe,_book_,60,_,1 Peter,_book_60_1 Peter,5,
2Pe,_book_,61,_,2 Peter,_book_61_2 Peter,3,
1Jn,_book_,62,_,1 John,_book_62_1 John,5,
2Jn,_book_,63,_,2 John,_book_63_2 John,1,
3Jn,_book_,64,_,3 John,_book_64_3 John,1,
Jud,_book_,65,_,Jude,_book_65_Jude,1,
Rev,_book_,66,_,Revelation,_book_66_Revelation,22,
