Line	Book	Chapter	Verse
1	Mat	1	1
2	Mat	1	2
3	Mat	1	3
4	Mat	1	4
5	Mat	1	5
6	Mat	1	6
7	Mat	1	7
8	Mat	1	8
9	Mat	1	9
10	Mat	1	10
11	Mat	1	11
12	Mat	1	12
13	Mat	1	13
14	Mat	1	14
15	Mat	1	15
16	Mat	1	16
17	Mat	1	17
18	Mat	1	18
19	Mat	1	19
20	Mat	1	20
21	Mat	1	21
22	Mat	1	22
23	Mat	1	23
24	Mat	1	24
25	Mat	1	25
26	Mat	2	1
27	Mat	2	2
28	Mat	2	3
29	Mat	2	4
30	Mat	2	5
31	Mat	2	6
32	Mat	2	7
33	Mat	2	8
34	Mat	2	9
35	Mat	2	10
36	Mat	2	11
37	Mat	2	12
38	Mat	2	13
39	Mat	2	14
40	Mat	2	15
41	Mat	2	16
42	Mat	2	17
43	Mat	2	18
44	Mat	2	19
45	Mat	2	20
46	Mat	2	21
47	Mat	2	22
48	Mat	2	23
49	Mat	3	1
50	Mat	3	2
51	Mat	3	3
52	Mat	3	4
53	Mat	3	5
54	Mat	3	6
55	Mat	3	7
56	Mat	3	8
57	Mat	3	9
58	Mat	3	10
59	Mat	3	11
60	Mat	3	12
61	Mat	3	13
62	Mat	3	14
63	Mat	3	15
64	Mat	3	16
65	Mat	3	17
66	Mat	4	1
67	Mat	4	2
68	Mat	4	3
69	Mat	4	4
70	Mat	4	5
71	Mat	4	6
72	Mat	4	7
73	Mat	4	8
74	Mat	4	9
75	Mat	4	10
76	Mat	4	11
77	Mat	4	12
78	Mat	4	13
79	Mat	4	14
80	Mat	4	15
81	Mat	4	16
82	Mat	4	17
83	Mat	4	18
84	Mat	4	19
85	Mat	4	20
86	Mat	4	21
87	Mat	4	22
88	Mat	4	23
89	Mat	4	24
90	Mat	4	25
91	Mat	5	1
92	Mat	5	2
93	Mat	5	3
94	Mat	5	4
95	Mat	5	5
96	Mat	5	6
97	Mat	5	7
98	Mat	5	8
99	Mat	5	9
100	Mat	5	10
101	Mat	5	11
102	Mat	5	12
103	Mat	5	13
104	Mat	5	14
105	Mat	5	15
106	Mat	5	16
107	Mat	5	17
108	Mat	5	18
109	Mat	5	19
110	Mat	5	20
111	Mat	5	21
112	Mat	5	22
113	Mat	5	23
114	Mat	5	24
115	Mat	5	25
116	Mat	5	26
117	Mat	5	27
118	Mat	5	28
119	Mat	5	29
120	Mat	5	30
121	Mat	5	31
122	Mat	5	32
123	Mat	5	33
124	Mat	5	34
125	Mat	5	35
126	Mat	5	36
127	Mat	5	37
128	Mat	5	38
129	Mat	5	39
130	Mat	5	40
131	Mat	5	41
132	Mat	5	42
133	Mat	5	43
134	Mat	5	44
135	Mat	5	45
136	Mat	5	46
137	Mat	5	47
138	Mat	5	48
139	Mat	6	1
140	Mat	6	2
141	Mat	6	3
142	Mat	6	4
143	Mat	6	5
144	Mat	6	6
145	Mat	6	7
146	Mat	6	8
147	Mat	6	9
148	Mat	6	10
149	Mat	6	11
150	Mat	6	12
151	Mat	6	13
152	Mat	6	14
153	Mat	6	15
154	Mat	6	16
155	Mat	6	17
156	Mat	6	18
157	Mat	6	19
158	Mat	6	20
159	Mat	6	21
160	Mat	6	22
161	Mat	6	23
162	Mat	6	24
163	Mat	6	25
164	Mat	6	26
165	Mat	6	27
166	Mat	6	28
167	Mat	6	29
168	Mat	6	30
169	Mat	6	31
170	Mat	6	32
171	Mat	6	33
172	Mat	6	34
173	Mat	7	1
174	Mat	7	2
175	Mat	7	3
176	Mat	7	4
177	Mat	7	5
178	Mat	7	6
179	Mat	7	7
180	Mat	7	8
181	Mat	7	9
182	Mat	7	10
183	Mat	7	11
184	Mat	7	12
185	Mat	7	13
186	Mat	7	14
187	Mat	7	15
188	Mat	7	16
189	Mat	7	17
190	Mat	7	18
191	Mat	7	19
192	Mat	7	20
193	Mat	7	21
194	Mat	7	22
195	Mat	7	23
196	Mat	7	24
197	Mat	7	25
198	Mat	7	26
199	Mat	7	27
200	Mat	7	28
201	Mat	7	29
202	Mat	8	1
203	Mat	8	2
204	Mat	8	3
205	Mat	8	4
206	Mat	8	5
207	Mat	8	6
208	Mat	8	7
209	Mat	8	8
210	Mat	8	9
211	Mat	8	10
212	Mat	8	11
213	Mat	8	12
214	Mat	8	13
215	Mat	8	14
216	Mat	8	15
217	Mat	8	16
218	Mat	8	17
219	Mat	8	18
220	Mat	8	19
221	Mat	8	20
222	Mat	8	21
223	Mat	8	22
224	Mat	8	23
225	Mat	8	24
226	Mat	8	25
227	Mat	8	26
228	Mat	8	27
229	Mat	8	28
230	Mat	8	29
231	Mat	8	30
232	Mat	8	31
233	Mat	8	32
234	Mat	8	33
235	Mat	8	34
236	Mat	9	1
237	Mat	9	2
238	Mat	9	3
239	Mat	9	4
240	Mat	9	5
241	Mat	9	6
242	Mat	9	7
243	Mat	9	8
244	Mat	9	9
245	Mat	9	10
246	Mat	9	11
247	Mat	9	12
248	Mat	9	13
249	Mat	9	14
250	Mat	9	15
251	Mat	9	16
252	Mat	9	17
253	Mat	9	18
254	Mat	9	19
255	Mat	9	20
256	Mat	9	21
257	Mat	9	22
258	Mat	9	23
259	Mat	9	24
260	Mat	9	25
261	Mat	9	26
262	Mat	9	27
263	Mat	9	28
264	Mat	9	29
265	Mat	9	30
266	Mat	9	31
267	Mat	9	32
268	Mat	9	33
269	Mat	9	34
270	Mat	9	35
271	Mat	9	36
272	Mat	9	37
273	Mat	9	38
274	Mat	10	1
275	Mat	10	2
276	Mat	10	3
277	Mat	10	4
278	Mat	10	5
279	Mat	10	6
280	Mat	10	7
281	Mat	10	8
282	Mat	10	9
283	Mat	10	10
284	Mat	10	11
