Page,PageLine,PageLineImageFile,PageLineTextFile,StartBook,StartChapter,StartVerse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,greek1516_Page_001_Line1.gt.tif,greek1516_Page_001_Line1.gt.txt,Mat,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,greek1516_Page_001_Line2.gt.tif,greek1516_Page_001_Line2.gt.txt,Mat,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,greek1516_Page_001_Line3.gt.tif,greek1516_Page_001_Line3.gt.txt,Mat,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,greek1516_Page_001_Line4.gt.tif,greek1516_Page_001_Line4.gt.txt,Mat,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,greek1516_Page_001_Line5.gt.tif,greek1516_Page_001_Line5.gt.txt,Mat,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,greek1516_Page_001_Line6.gt.tif,greek1516_Page_001_Line6.gt.txt,Mat,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,greek1516_Page_001_Line7.gt.tif,greek1516_Page_001_Line7.gt.txt,Mat,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,greek1516_Page_001_Line8.gt.tif,greek1516_Page_001_Line8.gt.txt,Mat,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,greek1516_Page_001_Line9.gt.tif,greek1516_Page_001_Line9.gt.txt,Mat,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,greek1516_Page_001_Line10.gt.tif,greek1516_Page_001_Line10.gt.txt,Mat,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,greek1516_Page_001_Line11.gt.tif,greek1516_Page_001_Line11.gt.txt,Mat,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,greek1516_Page_001_Line12.gt.tif,greek1516_Page_001_Line12.gt.txt,Mat,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,greek1516_Page_001_Line13.gt.tif,greek1516_Page_001_Line13.gt.txt,Mat,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,greek1516_Page_001_Line14.gt.tif,greek1516_Page_001_Line14.gt.txt,Mat,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,greek1516_Page_001_Line15.gt.tif,greek1516_Page_001_Line15.gt.txt,Mat,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,greek1516_Page_001_Line16.gt.tif,greek1516_Page_001_Line16.gt.txt,Mat,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,greek1516_Page_001_Line17.gt.tif,greek1516_Page_001_Line17.gt.txt,Mat,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,greek1516_Page_001_Line18.gt.tif,greek1516_Page_001_Line18.gt.txt,Mat,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,greek1516_Page_001_Line19.gt.tif,greek1516_Page_001_Line19.gt.txt,Mat,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,greek1516_Page_001_Line20.gt.tif,greek1516_Page_001_Line20.gt.txt,Mat,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,greek1516_Page_001_Line21.gt.tif,greek1516_Page_001_Line21.gt.txt,Mat,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,greek1516_Page_001_Line22.gt.tif,greek1516_Page_001_Line22.gt.txt,Mat,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,greek1516_Page_001_Line23.gt.tif,greek1516_Page_001_Line23.gt.txt,Mat,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,greek1516_Page_001_Line24.gt.tif,greek1516_Page_001_Line24.gt.txt,Mat,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,greek1516_Page_002_Line1.gt.tif,greek1516_Page_001_Line3.gt.txt,Mat,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,greek1516_Page_002_Line2.gt.tif,greek1516_Page_002_Line2.gt.txt,Mat,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,greek1516_Page_002_Line3.gt.tif,greek1516_Page_002_Line3.gt.txt,Mat,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,greek1516_Page_002_Line4.gt.tif,greek1516_Page_002_Line4.gt.txt,Mat,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,greek1516_Page_002_Line5.gt.tif,greek1516_Page_002_Line5.gt.txt,Mat,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,greek1516_Page_002_Line6.gt.tif,greek1516_Page_002_Line6.gt.txt,Mat,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,greek1516_Page_002_Line7.gt.tif,greek1516_Page_002_Line7.gt.txt,Mat,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,greek1516_Page_002_Line8.gt.tif,greek1516_Page_002_Line8.gt.txt,Mat,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,greek1516_Page_002_Line9.gt.tif,greek1516_Page_002_Line9.gt.txt,Mat,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,greek1516_Page_002_Line10.gt.tif,greek1516_Page_002_Line10.gt.txt,Mat,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,greek1516_Page_002_Line11.gt.tif,greek1516_Page_002_Line11.gt.txt,Mat,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,greek1516_Page_002_Line12.gt.tif,greek1516_Page_002_Line12.gt.txt,Mat,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,greek1516_Page_002_Line13.gt.tif,greek1516_Page_002_Line13.gt.txt,Mat,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,greek1516_Page_002_Line14.gt.tif,greek1516_Page_002_Line14.gt.txt,Mat,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,greek1516_Page_002_Line15.gt.tif,greek1516_Page_002_Line15.gt.txt,Mat,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,greek1516_Page_002_Line16.gt.tif,greek1516_Page_002_Line16.gt.txt,Mat,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,greek1516_Page_002_Line17.gt.tif,greek1516_Page_002_Line17.gt.txt,Mat,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
