LineImageFile,ImgPageNum,ImgPageLineNum,LineTextFile,PageTextFile,StartBook,StartChapter,StartVerse
greek1516_Page_001_Line1.tif,1,1,,,,,
greek1516_Page_001_Line2.tif,1,2,,,,,
greek1516_Page_001_Line3.tif,1,3,,,,,
greek1516_Page_001_Line4.tif,1,4,,,,,
greek1516_Page_001_Line5.tif,1,5,,,,,
greek1516_Page_001_Line6.tif,1,6,,,,,
greek1516_Page_001_Line7.tif,1,7,,,,,
greek1516_Page_001_Line8.tif,1,8,,,,,
greek1516_Page_001_Line9.tif,1,9,,,,,
greek1516_Page_001_Line10.tif,1,10,,,,,
greek1516_Page_001_Line11.tif,1,11,,,,,
greek1516_Page_001_Line12.tif,1,12,,,,,
greek1516_Page_001_Line13.tif,1,13,,,,,
greek1516_Page_001_Line14.tif,1,14,,,,,
greek1516_Page_001_Line15.tif,1,15,,,,,
greek1516_Page_001_Line16.tif,1,16,,,,,
greek1516_Page_001_Line17.tif,1,17,,,,,
greek1516_Page_001_Line18.tif,1,18,,,,,
greek1516_Page_001_Line19.tif,1,19,,,,,
greek1516_Page_001_Line20.tif,1,20,,,,,
greek1516_Page_001_Line21.tif,1,21,,,,,
greek1516_Page_001_Line22.tif,1,22,,,,,
greek1516_Page_001_Line23.tif,1,23,,,,,
greek1516_Page_001_Line24.tif,1,24,,,,,
greek1516_Page_002_Line1.tif,2,1,,,,,
greek1516_Page_002_Line2.tif,2,2,,,,,
greek1516_Page_002_Line3.tif,2,3,,,,,
greek1516_Page_002_Line4.tif,2,4,,,,,
greek1516_Page_002_Line5.tif,2,5,,,,,
greek1516_Page_002_Line6.tif,2,6,,,,,
greek1516_Page_002_Line7.tif,2,7,,,,,
greek1516_Page_002_Line8.tif,2,8,,,,,
greek1516_Page_002_Line9.tif,2,9,,,,,
greek1516_Page_002_Line10.tif,2,10,,,,,
greek1516_Page_002_Line11.tif,2,11,,,,,
greek1516_Page_002_Line12.tif,2,12,,,,,
greek1516_Page_002_Line13.tif,2,13,,,,,
greek1516_Page_002_Line14.tif,2,14,,,,,
greek1516_Page_002_Line15.tif,2,15,,,,,
greek1516_Page_002_Line16.tif,2,16,,,,,
greek1516_Page_002_Line17.tif,2,17,,,,,
greek1516_Page_002_Line18.tif,2,18,,,,,
greek1516_Page_002_Line19.tif,2,19,,,,,
greek1516_Page_002_Line20.tif,2,20,,,,,
greek1516_Page_002_Line21.tif,2,21,,,,,
greek1516_Page_002_Line22.tif,2,22,,,,,
greek1516_Page_002_Line23.tif,2,23,,,,,
greek1516_Page_002_Line24.tif,2,24,,,,,
greek1516_Page_002_Line25.tif,2,25,,,,,
greek1516_Page_002_Line26.tif,2,26,,,,,
greek1516_Page_002_Line27.tif,2,27,,,,,
greek1516_Page_002_Line28.tif,2,28,,,,,
greek1516_Page_002_Line29.tif,2,29,,,,,
greek1516_Page_002_Line30.tif,2,30,,,,,
greek1516_Page_002_Line31.tif,2,31,,,,,
greek1516_Page_002_Line32.tif,2,32,,,,,
greek1516_Page_002_Line33.tif,2,33,,,,,
greek1516_Page_002_Line34.tif,2,34,,,,,
greek1516_Page_002_Line35.tif,2,35,,,,,
greek1516_Page_002_Line36.tif,2,36,,,,,
greek1516_Page_002_Line37.tif,2,37,,,,,
greek1516_Page_002_Line38.tif,2,38,,,,,
greek1516_Page_002_Line39.tif,2,39,,,,,
greek1516_Page_002_Line40.tif,2,40,,,,,
greek1516_Page_003_Line1.tif,3,1,,,,,
greek1516_Page_003_Line2.tif,3,2,,,,,
greek1516_Page_003_Line3.tif,3,3,,,,,
greek1516_Page_003_Line4.tif,3,4,,,,,
greek1516_Page_003_Line5.tif,3,5,,,,,
greek1516_Page_003_Line6.tif,3,6,,,,,
greek1516_Page_003_Line7.tif,3,7,,,,,
greek1516_Page_003_Line8.tif,3,8,,,,,
greek1516_Page_003_Line9.tif,3,9,,,,,
greek1516_Page_003_Line10.tif,3,10,,,,,
greek1516_Page_003_Line11.tif,3,11,,,,,
greek1516_Page_003_Line12.tif,3,12,,,,,
greek1516_Page_003_Line13.tif,3,13,,,,,
greek1516_Page_003_Line14.tif,3,14,,,,,
greek1516_Page_003_Line15.tif,3,15,,,,,
greek1516_Page_003_Line16.tif,3,16,,,,,
greek1516_Page_003_Line17.tif,3,17,,,,,
greek1516_Page_003_Line18.tif,3,18,,,,,
greek1516_Page_003_Line19.tif,3,19,,,,,
greek1516_Page_003_Line20.tif,3,20,,,,,
greek1516_Page_003_Line21.tif,3,21,,,,,
greek1516_Page_003_Line22.tif,3,22,,,,,
greek1516_Page_003_Line23.tif,3,23,,,,,
greek1516_Page_003_Line24.tif,3,24,,,,,
greek1516_Page_003_Line25.tif,3,25,,,,,
greek1516_Page_003_Line26.tif,3,26,,,,,
greek1516_Page_003_Line27.tif,3,27,,,,,
greek1516_Page_003_Line28.tif,3,28,,,,,
greek1516_Page_003_Line29.tif,3,29,,,,,
greek1516_Page_003_Line30.tif,3,30,,,,,
greek1516_Page_003_Line31.tif,3,31,,,,,
greek1516_Page_003_Line32.tif,3,32,,,,,
greek1516_Page_003_Line33.tif,3,33,,,,,
greek1516_Page_003_Line34.tif,3,34,,,,,
greek1516_Page_003_Line35.tif,3,35,,,,,
greek1516_Page_003_Line36.tif,3,36,,,,,
greek1516_Page_003_Line37.tif,3,37,,,,,
greek1516_Page_003_Line38.tif,3,38,,,,,
greek1516_Page_003_Line39.tif,3,39,,,,,
greek1516_Page_003_Line40.tif,3,40,,,,,
greek1516_Page_004_Line1.tif,4,1,,,,,
greek1516_Page_004_Line2.tif,4,2,,,,,
greek1516_Page_004_Line3.tif,4,3,,,,,
greek1516_Page_004_Line4.tif,4,4,,,,,
greek1516_Page_004_Line5.tif,4,5,,,,,
greek1516_Page_004_Line6.tif,4,6,,,,,
greek1516_Page_004_Line7.tif,4,7,,,,,
greek1516_Page_004_Line8.tif,4,8,,,,,
greek1516_Page_004_Line9.tif,4,9,,,,,
greek1516_Page_004_Line10.tif,4,10,,,,,
greek1516_Page_004_Line11.tif,4,11,,,,,
greek1516_Page_004_Line12.tif,4,12,,,,,
greek1516_Page_004_Line13.tif,4,13,,,,,
greek1516_Page_004_Line14.tif,4,14,,,,,
greek1516_Page_004_Line15.tif,4,15,,,,,
greek1516_Page_004_Line16.tif,4,16,,,,,
greek1516_Page_004_Line17.tif,4,17,,,,,
greek1516_Page_004_Line18.tif,4,18,,,,,
greek1516_Page_004_Line19.tif,4,19,,,,,
greek1516_Page_004_Line20.tif,4,20,,,,,
greek1516_Page_004_Line21.tif,4,21,,,,,
greek1516_Page_004_Line22.tif,4,22,,,,,
greek1516_Page_004_Line23.tif,4,23,,,,,
greek1516_Page_004_Line24.tif,4,24,,,,,
greek1516_Page_004_Line25.tif,4,25,,,,,
greek1516_Page_004_Line26.tif,4,26,,,,,
greek1516_Page_004_Line27.tif,4,27,,,,,
greek1516_Page_004_Line28.tif,4,28,,,,,
greek1516_Page_004_Line29.tif,4,29,,,,,
greek1516_Page_004_Line30.tif,4,30,,,,,
greek1516_Page_004_Line31.tif,4,31,,,,,
greek1516_Page_004_Line32.tif,4,32,,,,,
greek1516_Page_004_Line33.tif,4,33,,,,,
greek1516_Page_004_Line34.tif,4,34,,,,,
greek1516_Page_004_Line35.tif,4,35,,,,,
greek1516_Page_004_Line36.tif,4,36,,,,,
greek1516_Page_004_Line37.tif,4,37,,,,,
greek1516_Page_004_Line38.tif,4,38,,,,,
greek1516_Page_004_Line39.tif,4,39,,,,,
greek1516_Page_004_Line40.tif,4,40,,,,,
greek1516_Page_005_Line1.tif,5,1,,,,,
greek1516_Page_005_Line2.tif,5,2,,,,,
greek1516_Page_005_Line3.tif,5,3,,,,,
greek1516_Page_005_Line4.tif,5,4,,,,,
greek1516_Page_005_Line5.tif,5,5,,,,,
greek1516_Page_005_Line6.tif,5,6,,,,,
greek1516_Page_005_Line7.tif,5,7,,,,,
greek1516_Page_005_Line8.tif,5,8,,,,,
greek1516_Page_005_Line9.tif,5,9,,,,,
greek1516_Page_005_Line10.tif,5,10,,,,,
greek1516_Page_005_Line11.tif,5,11,,,,,
greek1516_Page_005_Line12.tif,5,12,,,,,
greek1516_Page_005_Line13.tif,5,13,,,,,
greek1516_Page_005_Line14.tif,5,14,,,,,
