,code,name
0,0x0,uni0000
1,0x1d,uni0000
2,0x20,space
3,0x21,exclam
4,0x22,quotedbl
5,0x23,numbersign
6,0x24,dollar
7,0x25,percent
8,0x26,ampersand
9,0x27,quotesingle
10,0x28,parenleft
11,0x29,parenright
12,0x2a,asterisk
13,0x2b,plus
14,0x2c,comma
15,0x2d,hyphen
16,0x2e,period
17,0x2f,slash
18,0x30,zero
19,0x31,one
20,0x32,two
21,0x33,three
22,0x34,four
23,0x35,five
24,0x36,six
25,0x37,seven
26,0x38,eight
27,0x39,nine
28,0x3a,colon
29,0x3b,semicolon
30,0x3c,less
31,0x3d,equal
32,0x3e,greater
33,0x3f,question
34,0x40,at
35,0x41,A
36,0x42,B
37,0x43,C
38,0x44,D
39,0x45,E
40,0x46,F
41,0x47,G
42,0x48,H
43,0x49,I
44,0x4a,J
45,0x4b,K
46,0x4c,L
47,0x4d,M
48,0x4e,N
49,0x4f,O
50,0x50,P
51,0x51,Q
52,0x52,R
53,0x53,S
54,0x54,T
55,0x55,U
56,0x56,V
57,0x57,W
58,0x58,X
59,0x59,Y
60,0x5a,Z
61,0x5b,bracketleft
62,0x5c,backslash
63,0x5d,bracketright
64,0x5e,asciicircum
65,0x5f,underscore
66,0x60,grave
67,0x61,a
68,0x62,b
69,0x63,c
70,0x64,d
71,0x65,e
72,0x66,f
73,0x67,g
74,0x68,h
75,0x69,i
76,0x6a,j
77,0x6b,k
78,0x6c,l
79,0x6d,m
80,0x6e,n
81,0x6f,o
82,0x70,p
83,0x71,q
84,0x72,r
85,0x73,s
86,0x74,t
87,0x75,u
88,0x76,v
89,0x77,w
90,0x78,x
91,0x79,y
92,0x7a,z
93,0x7b,braceleft
94,0x7c,bar
95,0x7d,braceright
96,0x7e,asciitilde
97,0xa0,uni00A0
98,0xa1,exclamdown
99,0xa2,cent
100,0xa3,sterling
101,0xa4,currency
102,0xa5,yen
103,0xa6,brokenbar
104,0xa7,section
105,0xa8,dieresis
106,0xa9,copyright
107,0xaa,ordfeminine
108,0xab,guillemotleft
109,0xac,logicalnot
110,0xad,uni00AD
111,0xae,registered
112,0xaf,macron
113,0xb0,degree
114,0xb1,plusminus
115,0xb2,uni00B2
116,0xb3,uni00B3
117,0xb4,acute
118,0xb5,mu
119,0xb6,paragraph
120,0xb7,periodcentered
121,0xb8,cedilla
122,0xb9,uni00B9
123,0xba,ordmasculine
124,0xbb,guillemotright
125,0xbc,onequarter
126,0xbd,onehalf
127,0xbe,threequarters
128,0xbf,questiondown
129,0xc6,AE
130,0xe6,ae
131,0x131,idotless
132,0x17f,longs
133,0x237,jdotless
134,0x2b9,primemod
135,0x2ba,doubleprimemod
136,0x2bc,apostrophemod
137,0x2be,righthalfringmod
138,0x2bf,lefthalfringmod
139,0x2c6,circumflexmod
140,0x2ca,acutemod
141,0x2cb,gravemod
142,0x2d8,brevemod
143,0x2d9,dotaccentmod
144,0x2da,ringmod
145,0x2dc,tildemod
146,0x300,gravecomb
147,0x301,acutecomb
148,0x302,circumflexcomb
149,0x303,tildecomb
150,0x304,macroncomb
151,0x305,overlinecomb
152,0x306,brevecomb
153,0x307,dotaccentcomb
154,0x308,dieresiscomb
155,0x30a,ringcomb
156,0x30c,caroncomb
157,0x313,commacomb
158,0x314,reversedcommacomb
159,0x323,dotbelowcomb
160,0x32f,invertedbrevebelowcomb
161,0x336,strokelongcomb
162,0x340,gravetonemarkcomb
163,0x341,acutetonemarkcomb
164,0x342,greekperispomenicomb
165,0x343,greekkoroniscomb
166,0x344,greekdialytikatonoscomb
167,0x345,greekypogegrammenicomb
168,0x351,lefthalfringcomb
169,0x357,righthalfringcomb
170,0x359,asteriskbelowcomb
171,0x374,greeknumeralsignmod
172,0x375,lowernumeralsignmod-grek
173,0x37a,ypogegrammenimod-grek
174,0x37e,greekquestionmark
175,0x384,tonosmod-grek
176,0x385,greekdialytikatonosmod
177,0x386,Alphatonos-grek
178,0x388,Epsilontonos-grek
179,0x389,Etatonos-grek
180,0x38a,Iotatonos-grek
181,0x38c,Omicrontonos-grek
182,0x38e,Upsilontonos-grek
183,0x38f,Omegatonos-grek
184,0x390,iotadialytikatonos-grek
185,0x391,Alpha-grek
186,0x392,Beta-grek
187,0x393,Gamma-grek
188,0x394,Delta-grek
189,0x395,Epsilon-grek
190,0x396,Zeta-grek
191,0x397,Eta-grek
192,0x398,Theta-grek
193,0x399,Iota-grek
194,0x39a,Kappa-grek
195,0x39b,Lamda-grek
196,0x39c,Mu-grek
197,0x39d,Nu-grek
198,0x39e,Xi-grek
199,0x39f,Omicron-grek
200,0x3a0,Pi-grek
201,0x3a1,Rho-grek
202,0x3a3,Sigma-grek
203,0x3a4,Tau-grek
204,0x3a5,Upsilon-grek
205,0x3a6,Phi-grek
206,0x3a7,Chi-grek
207,0x3a8,Psi-grek
208,0x3a9,Omega-grek
209,0x3aa,Iotadialytika-grek
210,0x3ab,Upsilondialytika-grek
211,0x3ac,alphatonos-grek
212,0x3ad,epsilontonos-grek
213,0x3ae,etatonos-grek
214,0x3af,iotatonos-grek
215,0x3b0,upsilondialytikatonos-grek
216,0x3b1,alpha-grek
217,0x3b2,beta-grek
218,0x3b3,gamma-grek
219,0x3b4,delta-grek
220,0x3b5,epsilon-grek
221,0x3b6,zeta-grek
222,0x3b7,eta-grek
223,0x3b8,theta-grek
224,0x3b9,iota-grek
225,0x3ba,kappa-grek
226,0x3bb,lamda-grek
227,0x3bc,mu-grek
228,0x3bd,nu-grek
229,0x3be,xi-grek
230,0x3bf,omicron-grek
231,0x3c0,pi-grek
232,0x3c1,rho-grek
233,0x3c2,finalsigma-grek
234,0x3c3,sigma-grek
235,0x3c4,tau-grek
236,0x3c5,upsilon-grek
237,0x3c6,phi-grek
238,0x3c7,chi-grek
239,0x3c8,psi-grek
240,0x3c9,omega-grek
241,0x3ca,iotadialytika-grek
242,0x3cb,upsilondialytika-grek
243,0x3cc,omicrontonos-grek
244,0x3cd,upsilontonos-grek
245,0x3ce,omegatonos-grek
246,0x3d0,betasymbol-grek
247,0x3d1,thetasymbol-grek
248,0x3d5,phisymbol-grek
249,0x3d6,pisymbol-grek
250,0x3d7,kaisymbol-grek
251,0x591,accentetnahtacomb-hebr
252,0x592,accentsegolcomb-hebr
253,0x593,accentshalsheletcomb-hebr
254,0x594,accentzaqefqatancomb-hebr
