,name,xMin,yMin,xMax,yMax
0,.notdef,26,15,956,1395
1,A,0,0,1298,1352
2,AE,0,0,1574,1350
3,Alpha-grek,0,0,1298,1352
4,Alphadasia-grek,0,0,1574,1640
5,Alphadasiaoxia-grek,0,0,1914,1634
6,Alphadasiaoxiaprosgegrammeni-grek,0,-413,1914,1634
7,Alphadasiaperispomeni-grek,0,0,1718,2224
8,Alphadasiaperispomeniprosgegrammeni-grek,0,-404,1718,2224
9,Alphadasiaprosgegrammeni-grek,0,-407,1574,1640
10,Alphadasiavaria-grek,0,0,2089,1642
11,Alphadasiavariaprosgegrammeni-grek,0,-406,2089,1642
12,Alphamacron-grek,0,0,1298,1710
13,Alphaoxia-grek,0,0,1298,1641
14,Alphaprosgegrammeni-grek,0,-416,1298,1352
15,Alphapsili-grek,0,0,1454,1637
16,Alphapsilioxia-grek,0,0,1818,1639
17,Alphapsilioxiaprosgegrammeni-grek,0,-408,1818,1639
18,Alphapsiliperispomeni-grek,0,0,1642,2212
19,Alphapsiliperispomeniprosgegrammeni-grek,0,-404,1642,2212
20,Alphapsiliprosgegrammeni-grek,0,-411,1454,1637
21,Alphapsilivaria-grek,0,0,2034,1639
22,Alphapsilivariaprosgegrammeni-grek,0,-401,2034,1639
23,Alphatonos-grek,0,0,1298,1637
24,Alphavaria-grek,0,0,1466,1638
25,Alphavrachy-grek,0,0,1298,1912
26,B,0,-2,915,1352
27,Beta-grek,0,-2,915,1352
28,C,0,-14,1165,1382
29,Chi-grek,0,0,1669,1353
30,D,0,2,1289,1355
31,Delta-grek,0,0,1325,1352
32,E,0,2,994,1352
33,Epsilon-grek,0,2,994,1352
34,Epsilondasia-grek,0,2,1582,1640
35,Epsilondasiaoxia-grek,0,2,2055,1638
36,Epsilondasiavaria-grek,0,2,2090,1642
37,Epsilonoxia-grek,0,2,1434,1642
38,Epsilonpsili-grek,0,2,1590,1639
39,Epsilonpsilioxia-grek,0,2,1972,1639
40,Epsilonpsilivaria-grek,0,2,2061,1642
41,Epsilontonos-grek,0,2,1453,1637
42,Epsilonvaria-grek,0,2,1518,1638
43,Eta-grek,0,0,1331,1346
44,Etadasia-grek,0,0,1919,1639
45,Etadasiaoxia-grek,0,0,2455,1639
46,Etadasiaoxiaprosgegrammeni-grek,0,-406,2455,1639
47,Etadasiaperispomeni-grek,0,0,2096,2224
48,Etadasiaperispomeniprosgegrammeni-grek,0,-404,2096,2224
49,Etadasiaprosgegrammeni-grek,0,-405,1919,1639
50,Etadasiavaria-grek,0,0,2465,1639
51,Etadasiavariaprosgegrammeni-grek,0,-408,2465,1639
52,Etaoxia-grek,0,0,1859,1638
53,Etaprosgegrammeni-grek,0,-402,1331,1346
54,Etapsili-grek,0,0,1951,1638
55,Etapsilioxia-grek,0,0,2376,1638
56,Etapsilioxiaprosgegrammeni-grek,0,-406,2376,1638
57,Etapsiliperispomeni-grek,0,0,2136,2210
58,Etapsiliperispomeniprosgegrammeni-grek,0,-410,2136,2210
59,Etapsiliprosgegrammeni-grek,0,-406,1951,1638
60,Etapsilivaria-grek,0,0,2411,1638
61,Etapsilivariaprosgegrammeni-grek,0,-408,2411,1638
62,Etatonos-grek,0,0,1870,1639
63,Etavaria-grek,0,0,1855,1638
64,F,0,0,929,1352
65,G,0,0,1138,1352
66,Gamma-grek,0,0,929,1301
67,H,0,0,1331,1346
68,I,0,10,516,1352
69,Iota-grek,0,10,516,1352
70,Iotadasia-grek,0,10,1108,1638
71,Iotadasiaoxia-grek,0,10,1644,1642
72,Iotadasiaperispomeni-grek,0,10,1276,2225
73,Iotadasiavaria-grek,0,10,1656,1642
74,Iotadialytika-grek,15,-8,683,1749
75,Iotamacron-grek,-148,10,657,1710
76,Iotaoxia-grek,0,10,1048,1638
77,Iotapsili-grek,0,10,1124,1638
78,Iotapsilioxia-grek,0,10,1560,1639
79,Iotapsiliperispomeni-grek,0,10,1331,2216
80,Iotapsilivaria-grek,0,10,1596,1639
81,Iotatonos-grek,0,10,1035,1638
82,Iotavaria-grek,0,10,1040,1642
83,Iotavrachy-grek,-198,10,706,1912
84,J,0,-27,786,1352
85,K,0,0,1444,1368
86,Kappa-grek,0,0,1444,1368
87,L,0,-8,1204,1352
88,Lamda-grek,0,0,1298,1352
89,M,0,0,1656,1352
90,Mu-grek,0,0,1656,1352
91,N,0,0,1392,1352
92,Nu-grek,0,0,1392,1352
93,O,0,-23,1405,1384
94,Omega-grek,0,0,1727,1355
95,Omegadasia-grek,0,0,2017,1639
96,Omegadasiaoxia-grek,0,0,2363,1639
97,Omegadasiaoxiaprosgegrammeni-grek,0,-405,2363,1639
98,Omegadasiaperispomeni-grek,0,0,2202,2224
99,Omegadasiaperispomeniprosgegrammeni-grek,0,-395,2202,2224
100,Omegadasiaprosgegrammeni-grek,0,-401,2017,1639
101,Omegadasiavaria-grek,0,0,2561,1637
102,Omegadasiavariaprosgegrammeni-grek,0,-408,2561,1637
103,Omegaoxia-grek,0,0,1727,1641
104,Omegaprosgegrammeni-grek,0,-410,1727,1355
105,Omegapsili-grek,0,0,1903,1639
106,Omegapsilioxia-grek,0,0,2262,1638
107,Omegapsilioxiaprosgegrammeni-grek,0,-408,2262,1638
108,Omegapsiliperispomeni-grek,0,0,2092,2211
109,Omegapsiliperispomeniprosgegrammeni-grek,0,-410,2092,2211
110,Omegapsiliprosgegrammeni-grek,0,-405,1903,1639
111,Omegapsilivaria-grek,0,0,2513,1636
