,name,contour,point,x,y,on
0,.notdef,1,1,26,1395,1
1,.notdef,1,2,956,1395,1
2,.notdef,1,3,956,15,1
3,.notdef,1,4,26,15,1
4,.notdef,2,1,89,1326,1
5,.notdef,2,2,89,66,1
6,.notdef,2,3,896,66,1
7,.notdef,2,4,896,1326,1
8,.notdef,3,1,565,251,0
9,.notdef,3,2,565,173,0
10,.notdef,3,3,534,142,1
11,.notdef,3,4,504,112,0
12,.notdef,3,5,424,112,0
13,.notdef,3,6,394,142,1
14,.notdef,3,7,361,175,0
15,.notdef,3,8,361,213,1
16,.notdef,3,9,361,249,0
17,.notdef,3,10,394,281,1
18,.notdef,3,11,424,310,0
19,.notdef,3,12,463,310,1
20,.notdef,3,13,504,310,0
21,.notdef,3,14,534,281,1
22,.notdef,4,1,786,838,1
23,.notdef,4,2,737,753,0
24,.notdef,4,3,650,685,1
25,.notdef,4,4,539,610,1
26,.notdef,4,5,537,370,1
27,.notdef,4,6,402,370,1
28,.notdef,4,7,407,682,1
29,.notdef,4,8,573,743,0
30,.notdef,4,9,632,834,1
31,.notdef,4,10,680,908,0
32,.notdef,4,11,680,960,1
33,.notdef,4,12,680,1049,0
34,.notdef,4,13,542,1078,1
35,.notdef,4,14,422,1048,1
36,.notdef,4,15,352,998,0
37,.notdef,4,16,304,998,1
38,.notdef,4,17,267,998,0
39,.notdef,4,18,245,1027,1
40,.notdef,4,19,232,1044,0
41,.notdef,4,20,232,1058,1
42,.notdef,4,21,232,1103,0
43,.notdef,4,22,341,1149,1
44,.notdef,4,23,474,1205,0
45,.notdef,4,24,567,1205,1
46,.notdef,4,25,596,1205,0
47,.notdef,4,26,620,1200,1
48,.notdef,4,27,757,1172,0
49,.notdef,4,28,802,1041,1
50,.notdef,4,29,817,997,0
51,.notdef,4,30,817,955,1
52,.notdef,4,31,817,891,0
53,A,1,1,418,623,1
54,A,1,2,739,627,1
55,A,1,3,606,1005,1
56,A,1,4,561,1005,1
57,A,2,1,629,1352,1
58,A,2,2,704,1352,0
59,A,2,3,733,1288,1
60,A,2,4,1231,176,1
61,A,2,5,1298,176,0
62,A,2,6,1298,125,1
63,A,2,7,1298,51,1
64,A,2,8,1298,0,0
65,A,2,9,1249,0,1
66,A,2,10,1143,0,1
67,A,2,11,1114,28,0
68,A,2,12,1087,28,1
69,A,2,13,1061,27,0
70,A,2,14,1036,4,1
71,A,2,15,928,5,1
72,A,2,16,880,5,0
73,A,2,17,880,52,1
74,A,2,18,880,145,1
75,A,2,19,880,176,0
76,A,2,20,944,176,1
77,A,2,21,823,467,1
78,A,2,22,440,463,1
79,A,2,23,321,176,1
80,A,2,24,389,176,0
81,A,2,25,389,137,1
82,A,2,26,389,51,1
83,A,2,27,389,0,0
84,A,2,28,344,0,1
85,A,2,29,340,0,1
86,A,2,30,248,0,1
87,A,2,31,221,28,0
88,A,2,32,193,28,1
89,A,2,33,168,29,0
90,A,2,34,141,3,1
91,A,2,35,43,1,1
92,A,2,36,0,0,0
93,A,2,37,0,45,1
94,A,2,38,0,127,1
95,A,2,39,0,176,0
96,A,2,40,63,176,1
97,A,2,41,495,1292,1
98,A,2,42,518,1352,0
99,AE,1,1,442,542,1
100,AE,1,2,507,542,1
101,AE,1,3,546,546,0
102,AE,1,4,650,546,1
103,AE,1,5,716,546,1
104,AE,1,6,715,1147,1
105,AE,1,7,619,1146,1
106,AE,2,1,1373,877,1
107,AE,2,2,1406,885,0
108,AE,2,3,1416,885,1
109,AE,2,4,1459,885,0
110,AE,2,5,1459,823,1
111,AE,2,6,1459,733,1
112,AE,2,7,1459,631,1
113,AE,2,8,1459,551,1
114,AE,2,9,1459,535,0
115,AE,2,10,1445,520,1
116,AE,2,11,1433,508,0
117,AE,2,12,1395,508,0
118,AE,2,13,1383,512,1
119,AE,2,14,1365,518,1
120,AE,2,15,1358,522,1
121,AE,2,16,1328,555,1
122,AE,2,17,1294,592,0
123,AE,2,18,1277,594,1
124,AE,2,19,1246,598,0
125,AE,2,20,1113,598,1
126,AE,2,21,1072,598,0
127,AE,2,22,992,588,1
128,AE,2,23,944,582,0
129,AE,2,24,944,466,1
130,AE,2,25,944,466,0
131,AE,2,26,944,457,1
132,AE,2,27,946,325,1
133,AE,2,28,948,181,1
134,AE,2,29,948,117,0
135,AE,2,30,1041,117,1
136,AE,2,31,1041,117,0
137,AE,2,32,1052,117,1
138,AE,2,33,1181,113,1
139,AE,2,34,1181,113,0
140,AE,2,35,1210,113,1
141,AE,2,36,1210,113,0
142,AE,2,37,1232,113,1
143,AE,2,38,1280,111,0
144,AE,2,39,1295,121,1
145,AE,2,40,1298,123,0
